ds,revenue,demand,sales
2024-02-02,18492.02,399.0,169.0
2024-02-03,12972.37,300.0,132.0
2024-02-04,14226.37,278.0,120.0
2024-02-05,14938.11,325.0,139.0
2024-02-06,13601.31,346.0,142.0
2024-02-07,19081.260000000002,421.0,171.0
2024-02-08,20019.56,425.0,185.0
2024-02-09,12406.789999999999,263.0,128.0
2024-02-10,15021.49,350.0,145.0
2024-02-11,12842.81,311.0,136.0
2024-02-12,14627.86,322.0,137.0
2024-02-13,12754.35,299.0,130.0
2024-02-14,16784.81,377.0,163.0
2024-02-15,19705.37,438.0,182.0
2024-02-16,17696.98,400.0,176.0
2024-02-17,13861.24,316.0,138.0
2024-02-18,13518.67,306.0,126.0
2024-02-19,15477.48,328.0,137.0
2024-02-20,16018.89,355.0,157.0
2024-02-21,17116.15,349.0,148.0
2024-02-22,17894.57,390.0,162.0
2024-02-23,16769.34,338.0,145.0
2024-02-24,13743.23,332.0,140.0
2024-02-25,11280.19,258.0,111.0
2024-02-26,12673.3,302.0,142.0
2024-02-27,16900.41,373.0,165.0
2024-02-28,15192.85,333.0,145.0
2024-02-29,19270.06,413.0,170.0
2024-03-01,14917.55,355.0,153.0
2024-03-02,15026.88,314.0,129.0
2024-03-03,17579.32,352.0,130.0
2024-03-04,13337.06,298.0,113.0
2024-03-05,12998.89,258.0,116.0
2024-03-06,19392.68,403.0,164.0
2024-03-07,15050.58,347.0,145.0
2024-03-08,17127.42,373.0,149.0
2024-03-09,16061.36,322.0,147.0
2024-03-10,13110.67,291.0,133.0
2024-03-11,11680.87,242.0,107.0
2024-03-12,15439.55,359.0,147.0
2024-03-13,17274.46,395.0,162.0
2024-03-14,18778.31,398.0,159.0
2024-03-15,15432.77,347.0,156.0
2024-03-16,16886.49,318.0,137.0
2024-03-17,13186.55,287.0,115.0
2024-03-18,11978.77,290.0,116.0
2024-03-19,12519.34,260.0,112.0
2024-03-20,15512.39,335.0,156.0
2024-03-21,16450.5,333.0,149.0
2024-03-22,15834.3,360.0,152.0
2024-03-23,13589.56,281.0,135.0
2024-03-24,11526.99,256.0,112.0
2024-03-25,12076.36,288.0,111.0
2024-03-26,15342.06,338.0,142.0
2024-03-27,15232.16,330.0,140.0
2024-03-28,15749.699999999999,330.0,135.0
2024-03-29,17098.1,377.0,151.0
2024-03-30,13469.7,303.0,126.0
2024-03-31,12512.43,263.0,122.0
2024-04-01,13825.37,306.0,129.0
2024-04-02,13301.24,302.0,127.0
2024-04-03,18724.81,408.0,169.0
2024-04-04,15242.09,339.0,143.0
2024-04-05,13557.24,315.0,138.0
2024-04-06,12264.34,324.0,131.0
2024-04-07,11482.66,267.0,106.0
2024-04-08,11543.23,259.0,112.0
2024-04-09,11427.21,264.0,107.0
2024-04-10,14860.51,336.0,140.0
2024-04-11,12677.58,292.0,132.0
2024-04-12,13780.67,314.0,134.0
2024-04-13,13172.33,258.0,130.0
2024-04-14,10154.06,246.0,108.0
2024-04-15,10567.68,248.0,101.0
2024-04-16,9395.13,219.0,101.0
2024-04-17,12425.56,280.0,128.0
2024-04-18,13963.93,300.0,142.0
2024-04-19,13385.68,298.0,125.0
2024-04-20,12052.39,258.0,108.0
2024-04-21,10009.11,250.0,108.0
2024-04-22,11485.56,261.0,115.0
2024-04-23,14374.29,280.0,120.0
2024-04-24,13580.06,310.0,132.0
2024-04-25,12298.12,284.0,119.0
2024-04-26,14423.14,364.0,152.0
2024-04-27,9921.39,223.0,101.0
2024-04-28,8782.63,180.0,84.0
2024-04-29,10299.9,236.0,97.0
2024-04-30,10791.8,244.0,96.0
2024-05-01,11443.63,268.0,117.0
2024-05-02,15465.63,363.0,150.0
2024-05-03,11973.77,268.0,109.0
2024-05-04,10897.58,235.0,100.0
2024-05-05,9797.67,216.0,86.0
2024-05-06,10126.89,239.0,102.0
2024-05-07,10243.12,226.0,98.0
2024-05-08,13783.26,283.0,124.0
2024-05-09,11463.72,296.0,130.0
2024-05-10,11847.34,267.0,124.0
2024-05-11,6050.4,146.0,79.0
2024-05-12,10025.14,223.0,96.0
2024-05-13,12312.23,244.0,104.0
2024-05-14,14503.4,320.0,124.0
2024-05-15,14053.87,318.0,124.0
2024-05-16,15831.92,355.0,145.0
2024-05-17,13538.16,292.0,122.0
2024-05-18,7778.72,185.0,86.0
2024-05-19,9302.75,213.0,91.0
2024-05-20,10720.4,221.0,105.0
2024-05-21,12801.01,288.0,128.0
2024-05-22,11085.56,222.0,96.0
2024-05-23,14146.23,347.0,131.0
2024-05-24,12259.17,277.0,113.0
2024-05-25,10364.39,214.0,92.0
2024-05-26,9858.7,224.0,91.0
2024-05-27,8367.86,198.0,84.0
2024-05-28,10238.2,222.0,100.0
2024-05-29,11050.2,232.0,103.0
2024-05-30,11721.85,250.0,109.0
2024-05-31,12277.789999999999,279.0,119.0
2024-06-01,9149.55,188.0,92.0
2024-06-02,10527.54,226.0,87.0
2024-06-03,7188.71,178.0,81.0
2024-06-04,11704.39,228.0,98.0
2024-06-05,12145.58,264.0,104.0
2024-06-06,13241.82,295.0,113.0
2024-06-07,9709.54,220.0,101.0
2024-06-08,8633.33,195.0,92.0
2024-06-09,9788.21,215.0,90.0
2024-06-10,8750.33,198.0,94.0
2024-06-11,12039.93,281.0,117.0
2024-06-12,11680.21,265.0,113.0
2024-06-13,13580.22,311.0,121.0
2024-06-14,14069.380000000001,302.0,123.0
2024-06-15,8680.21,225.0,87.0
2024-06-16,8799.71,203.0,81.0
2024-06-17,10133.73,221.0,93.0
2024-06-18,11409.03,224.0,97.0
2024-06-19,13285.47,253.0,109.0
2024-06-20,14723.19,331.0,135.0
2024-06-21,14627.36,308.0,123.0
2024-06-22,7459.24,162.0,80.0
2024-06-23,9072.85,185.0,81.0
2024-06-24,9032.37,207.0,89.0
2024-06-25,12482.05,270.0,105.0
2024-06-26,12456.82,281.0,116.0
2024-06-27,12130.04,276.0,121.0
2024-06-28,12224.35,247.0,105.0
2024-06-29,8693.47,175.0,84.0
2024-06-30,7200.97,176.0,73.0
2024-07-01,8778.48,183.0,82.0
2024-07-02,11318.9,230.0,96.0
2024-07-03,9528.04,214.0,95.0
2024-07-04,14876.37,341.0,143.0
2024-07-05,13334.67,280.0,122.0
2024-07-06,11141.53,212.0,93.0
2024-07-07,12348.49,265.0,113.0
2024-07-08,8151.2300000000005,188.0,84.0
2024-07-09,9111.34,233.0,104.0
2024-07-10,12446.27,296.0,114.0
2024-07-11,12729.28,281.0,128.0
2024-07-12,9778.45,210.0,94.0
2024-07-13,9881.4,221.0,96.0
2024-07-14,11858.75,245.0,98.0
2024-07-15,8675.61,205.0,88.0
2024-07-16,10123.38,231.0,99.0
2024-07-17,14512.15,311.0,121.0
2024-07-18,15163.82,343.0,144.0
2024-07-19,13911.380000000001,274.0,117.0
2024-07-20,10342.86,212.0,92.0
2024-07-21,10123.9,212.0,93.0
2024-07-22,7874.16,185.0,79.0
2024-07-23,9350.47,193.0,87.0
2024-07-24,14080.77,294.0,135.0
2024-07-25,9227.27,208.0,101.0
2024-07-26,12405.4,261.0,124.0
2024-07-27,10580.27,229.0,99.0
2024-07-28,7485.37,159.0,72.0
2024-07-29,12533.45,252.0,99.0
2024-07-30,10368.68,238.0,106.0
2024-07-31,12866.8,277.0,116.0
2024-08-01,13601.28,280.0,123.0
2024-08-02,10405.29,231.0,101.0
2024-08-03,10389.87,243.0,101.0
2024-08-04,8363.32,192.0,74.0
2024-08-05,7239.74,176.0,74.0
2024-08-06,15967.16,318.0,123.0
2024-08-07,13972.74,288.0,128.0
2024-08-08,10531.23,232.0,104.0
2024-08-09,13057.880000000001,291.0,129.0
2024-08-10,10492.28,227.0,91.0
2024-08-11,8619.97,183.0,78.0
2024-08-12,6706.03,157.0,67.0
2024-08-13,9077.99,200.0,91.0
2024-08-14,12858.97,276.0,118.0
2024-08-15,9178.88,201.0,93.0
2024-08-16,14870.09,318.0,130.0
2024-08-17,11057.64,242.0,107.0
2024-08-18,9880.82,207.0,90.0
2024-08-19,9501.03,217.0,100.0
2024-08-20,10861.72,249.0,114.0
2024-08-21,15108.74,317.0,141.0
2024-08-22,11629.75,280.0,124.0
2024-08-23,14017.85,316.0,123.0
2024-08-24,11466.56,232.0,102.0
2024-08-25,9801.67,219.0,96.0
2024-08-26,12110.35,255.0,105.0
2024-08-27,13058.68,301.0,133.0
2024-08-28,15751.05,354.0,154.0
2024-08-29,15563.82,349.0,150.0
2024-08-30,14174.37,322.0,137.0
2024-08-31,8970.74,195.0,90.0
2024-09-01,7918.69,172.0,83.0
2024-09-02,12116.630000000001,245.0,104.0
2024-09-03,10484.33,250.0,112.0
2024-09-04,13884.78,307.0,133.0
2024-09-05,14175.96,312.0,141.0
2024-09-06,13094.83,288.0,129.0
2024-09-07,13357.63,300.0,121.0
2024-09-08,9205.94,210.0,88.0
2024-09-09,10536.44,243.0,109.0
2024-09-10,15191.27,322.0,150.0
2024-09-11,16430.76,360.0,154.0
2024-09-12,16741.63,371.0,159.0
2024-09-13,21565.32,398.0,151.0
2024-09-14,12790.8,293.0,126.0
2024-09-15,10612.81,242.0,102.0
2024-09-16,11212.98,233.0,109.0
2024-09-17,10726.88,230.0,110.0
2024-09-18,15285.76,339.0,138.0
2024-09-19,16431.08,353.0,156.0
2024-09-20,13096.19,300.0,131.0
2024-09-21,12947.44,275.0,117.0
2024-09-22,11159.43,261.0,113.0
2024-09-23,11878.31,256.0,120.0
2024-09-24,14143.8,334.0,145.0
2024-09-25,14005.81,288.0,136.0
2024-09-26,16026.47,365.0,166.0
2024-09-27,15377.62,349.0,148.0
2024-09-28,13434.69,302.0,132.0
2024-09-29,11416.37,231.0,106.0
2024-09-30,11209.38,256.0,107.0
2024-10-01,15404.02,360.0,144.0
2024-10-02,16218.88,372.0,145.0
2024-10-03,15996.04,372.0,157.0
2024-10-04,15521.69,354.0,149.0
2024-10-05,12220.1,276.0,136.0
2024-10-06,10188.18,248.0,110.0
2024-10-07,13260.25,287.0,125.0
2024-10-08,13421.12,289.0,125.0
2024-10-09,15503.13,364.0,152.0
2024-10-10,19197.9,427.0,181.0
2024-10-11,17355.55,389.0,161.0
2024-10-12,16984.83,366.0,147.0
2024-10-13,13670.14,280.0,131.0
2024-10-14,9400.19,227.0,110.0
2024-10-15,14270.98,325.0,150.0
2024-10-16,17098.6,405.0,171.0
2024-10-17,17811.46,390.0,174.0
2024-10-18,18231.81,413.0,166.0
2024-10-19,11932.14,282.0,116.0
2024-10-20,14914.83,309.0,128.0
2024-10-21,12277.15,292.0,123.0
2024-10-22,15850.17,378.0,157.0
2024-10-23,17957.75,422.0,184.0
2024-10-24,18398.88,403.0,171.0
2024-10-25,14368.37,326.0,139.0
2024-10-26,14092.48,305.0,141.0
2024-10-27,14083.81,303.0,125.0
2024-10-28,13421.79,291.0,132.0
2024-10-29,16221.11,346.0,151.0
2024-10-30,18921.21,404.0,167.0
2024-10-31,19723.65,447.0,193.0
2024-11-01,20269.42,404.0,174.0
2024-11-02,17544.37,407.0,156.0
2024-11-03,14785.02,320.0,140.0
2024-11-04,15178.85,342.0,144.0
2024-11-05,20102.55,432.0,163.0
2024-11-06,18702.25,430.0,184.0
2024-11-07,19588.27,444.0,191.0
2024-11-08,13674.92,350.0,160.0
2024-11-09,15757.67,335.0,150.0
2024-11-10,13092.64,297.0,130.0
2024-11-11,13594.74,300.0,126.0
2024-11-12,18322.62,367.0,161.0
2024-11-13,19416.18,436.0,188.0
2024-11-14,22683.44,504.0,221.0
2024-11-15,21685.34,484.0,199.0
2024-11-16,16957.09,389.0,162.0
2024-11-17,14188.52,310.0,138.0
2024-11-18,14060.68,320.0,139.0
2024-11-19,18656.21,406.0,181.0
2024-11-20,19852.18,433.0,177.0
2024-11-21,18647.61,434.0,190.0
2024-11-22,17130.64,404.0,182.0
2024-11-23,14761.03,340.0,140.0
2024-11-24,12162.039999999999,290.0,124.0
2024-11-25,15140.79,342.0,143.0
2024-11-26,19940.39,405.0,173.0
2024-11-27,23518.94,516.0,209.0
2024-11-28,18996.78,450.0,201.0
2024-11-29,19909.01,437.0,196.0
2024-11-30,16845.35,363.0,150.0
2024-12-01,15481.99,344.0,147.0
2024-12-02,12416.32,306.0,130.0
2024-12-03,17066.8,396.0,161.0
2024-12-04,20084.55,464.0,194.0
2024-12-05,21249.63,494.0,194.0
2024-12-06,20871.13,471.0,196.0
2024-12-07,14276.18,313.0,143.0
2024-12-08,12618.98,285.0,127.0
2024-12-09,15348.82,343.0,155.0
2024-12-10,16953.28,371.0,166.0
2024-12-11,20488.65,454.0,189.0
2024-12-12,19464.28,425.0,200.0
2024-12-13,19512.94,445.0,196.0
2024-12-14,17575.73,400.0,167.0
2024-12-15,17368.0,384.0,159.0
2024-12-16,14329.4,328.0,141.0
2024-12-17,19723.88,417.0,171.0
2024-12-18,21040.51,465.0,199.0
2024-12-19,18546.04,454.0,196.0
2024-12-20,19840.11,446.0,198.0
2024-12-21,15397.28,339.0,147.0
2024-12-22,14331.69,298.0,136.0
2024-12-23,17372.43,373.0,153.0
2024-12-24,20129.92,416.0,177.0
2024-12-25,23439.579999999998,524.0,219.0
2024-12-26,19657.05,451.0,189.0
2024-12-27,21030.86,464.0,197.0
2024-12-28,18569.44,409.0,171.0
2024-12-29,13873.22,311.0,141.0
2024-12-30,17210.62,346.0,143.0
2024-12-31,15214.99,355.0,153.0
2025-01-01,19291.81,432.0,174.0
2025-01-02,23673.58,508.0,208.0
2025-01-03,20206.4,434.0,184.0
2025-01-04,18124.92,395.0,167.0
2025-01-05,14850.95,339.0,142.0
2025-01-06,13625.21,324.0,145.0
2025-01-07,21845.47,480.0,198.0
2025-01-08,19838.05,435.0,190.0
2025-01-09,20471.89,432.0,194.0
2025-01-10,20062.21,432.0,188.0
2025-01-11,16739.68,393.0,161.0
2025-01-12,16358.58,351.0,155.0
2025-01-13,14475.61,354.0,156.0
2025-01-14,18701.28,420.0,190.0
2025-01-15,19072.64,424.0,189.0
2025-01-16,23031.58,505.0,221.0
2025-01-17,20223.77,419.0,175.0
2025-01-18,15352.81,356.0,153.0
2025-01-19,15009.68,332.0,139.0
2025-01-20,15399.4,341.0,140.0
2025-01-21,17033.13,402.0,180.0
2025-01-22,20130.01,449.0,206.0
2025-01-23,21262.34,462.0,194.0
2025-01-24,18117.79,432.0,192.0
2025-01-25,14933.69,359.0,170.0
2025-01-26,13950.89,318.0,135.0
2025-01-27,13785.380000000001,320.0,149.0
2025-01-28,16220.15,378.0,166.0
2025-01-29,24133.86,536.0,221.0
2025-01-30,22402.72,464.0,199.0
2025-01-31,21520.19,466.0,191.0
2025-02-01,18015.14,410.0,177.0
2025-02-02,15438.36,302.0,132.0
2025-02-03,17357.29,387.0,158.0
2025-02-04,17613.59,374.0,169.0
2025-02-05,20211.64,442.0,203.0
2025-02-06,23962.04,496.0,213.0
2025-02-07,18482.89,396.0,172.0
2025-02-08,20048.08,426.0,185.0
2025-02-09,15981.71,317.0,126.0
2025-02-10,14741.04,334.0,144.0
2025-02-11,16070.99,372.0,155.0
2025-02-12,21574.829999999998,511.0,214.0
2025-02-13,19633.6,397.0,186.0
2025-02-14,15872.9,361.0,155.0
2025-02-15,16384.31,370.0,163.0
2025-02-16,16386.85,340.0,153.0
2025-02-17,14585.7,307.0,127.0
2025-02-18,18619.62,393.0,170.0
2025-02-19,17078.89,410.0,189.0
2025-02-20,20083.86,489.0,206.0
2025-02-21,20775.54,476.0,205.0
2025-02-22,19137.58,376.0,175.0
2025-02-23,13717.82,291.0,131.0
2025-02-24,14581.22,339.0,146.0
2025-02-25,16520.88,382.0,165.0
2025-02-26,21113.18,417.0,165.0
2025-02-27,19581.09,478.0,208.0
2025-02-28,17549.41,380.0,160.0
2025-03-01,17148.05,392.0,168.0
2025-03-02,15716.94,334.0,152.0
2025-03-03,12952.64,301.0,129.0
2025-03-04,16878.41,352.0,151.0
2025-03-05,23581.9,469.0,186.0
2025-03-06,20251.71,464.0,195.0
2025-03-07,15279.97,360.0,172.0
2025-03-08,18965.14,417.0,169.0
2025-03-09,13985.23,306.0,131.0
2025-03-10,17194.12,360.0,152.0
2025-03-11,17071.48,366.0,161.0
2025-03-12,19113.04,394.0,177.0
2025-03-13,18787.63,438.0,182.0
2025-03-14,18548.920000000002,415.0,170.0
2025-03-15,13189.22,292.0,131.0
2025-03-16,12633.09,288.0,131.0
2025-03-17,14678.24,345.0,136.0
2025-03-18,14091.4,303.0,133.0
2025-03-19,19261.43,388.0,176.0
2025-03-20,17420.64,380.0,167.0
2025-03-21,14721.42,340.0,150.0
2025-03-22,15871.69,318.0,139.0
2025-03-23,17211.78,340.0,144.0
2025-03-24,15030.43,323.0,133.0
2025-03-25,17802.23,377.0,153.0
2025-03-26,16556.49,378.0,164.0
2025-03-27,16040.81,356.0,167.0
2025-03-28,19681.44,417.0,182.0
2025-03-29,14176.01,320.0,129.0
2025-03-30,11376.03,254.0,99.0
2025-03-31,12703.72,298.0,121.0
2025-04-01,13122.130000000001,304.0,137.0
2025-04-02,16441.7,364.0,167.0
2025-04-03,18099.26,377.0,173.0
2025-04-04,17116.61,358.0,154.0
2025-04-05,13657.56,301.0,122.0
2025-04-06,9568.55,219.0,102.0
2025-04-07,15468.24,321.0,124.0
2025-04-08,12820.49,292.0,134.0
2025-04-09,16850.46,362.0,156.0
2025-04-10,15878.47,332.0,154.0
2025-04-11,15151.01,327.0,148.0
2025-04-12,12607.39,289.0,121.0
2025-04-13,13364.65,260.0,107.0
2025-04-14,14716.09,322.0,142.0
2025-04-15,15954.8,366.0,142.0
2025-04-16,13371.43,297.0,147.0
2025-04-17,16193.98,384.0,164.0
2025-04-18,13871.17,302.0,132.0
2025-04-19,14175.4,307.0,130.0
2025-04-20,11777.42,270.0,113.0
2025-04-21,11125.88,277.0,117.0
2025-04-22,15292.53,338.0,141.0
2025-04-23,17346.75,372.0,158.0
2025-04-24,14956.85,342.0,153.0
2025-04-25,14958.13,356.0,141.0
2025-04-26,12952.77,283.0,124.0
2025-04-27,12548.08,275.0,124.0
2025-04-28,10324.47,237.0,99.0
2025-04-29,14000.49,317.0,123.0
2025-04-30,16508.87,351.0,149.0
2025-05-01,18160.75,417.0,164.0
2025-05-02,12707.58,280.0,115.0
2025-05-03,14533.0,316.0,143.0
2025-05-04,10431.4,238.0,102.0
2025-05-05,13945.66,315.0,129.0
2025-05-06,14049.12,308.0,130.0
2025-05-07,11997.87,254.0,112.0
2025-05-08,17837.48,393.0,162.0
2025-05-09,14753.56,352.0,147.0
2025-05-10,13255.73,274.0,115.0
2025-05-11,10683.97,236.0,101.0
2025-05-12,12089.05,249.0,104.0
2025-05-13,13860.84,325.0,137.0
2025-05-14,14241.43,298.0,131.0
2025-05-15,15035.9,342.0,156.0
2025-05-16,11110.59,247.0,103.0
2025-05-17,10734.88,238.0,97.0
2025-05-18,8854.72,198.0,97.0
2025-05-19,10634.07,231.0,101.0
2025-05-20,14612.06,316.0,125.0
2025-05-21,15422.53,363.0,159.0
2025-05-22,12831.5,316.0,132.0
2025-05-23,14123.47,301.0,134.0
2025-05-24,11248.94,234.0,99.0
2025-05-25,10851.82,224.0,94.0
2025-05-26,11716.22,250.0,98.0
2025-05-27,12091.63,261.0,113.0
2025-05-28,14802.87,299.0,129.0
2025-05-29,15473.48,351.0,141.0
2025-05-30,14567.79,330.0,130.0
2025-05-31,9750.42,217.0,100.0
2025-06-01,12196.56,263.0,114.0
2025-06-02,9084.97,222.0,96.0
2025-06-03,12646.33,284.0,112.0
2025-06-04,10803.15,257.0,117.0
2025-06-05,14978.91,350.0,146.0
2025-06-06,8522.12,200.0,98.0
2025-06-07,10435.38,235.0,113.0
2025-06-08,11024.06,222.0,94.0
2025-06-09,10268.9,233.0,96.0
2025-06-10,10446.51,237.0,109.0
2025-06-11,12707.11,271.0,128.0
2025-06-12,13670.1,295.0,122.0
2025-06-13,17184.69,353.0,142.0
2025-06-14,12369.01,267.0,110.0
2025-06-15,11312.74,242.0,104.0
2025-06-16,11008.48,236.0,89.0
2025-06-17,11927.13,282.0,118.0
2025-06-18,12667.11,289.0,128.0
2025-06-19,14077.91,311.0,139.0
2025-06-20,11786.93,266.0,118.0
2025-06-21,9231.08,239.0,99.0
2025-06-22,8744.82,204.0,94.0
2025-06-23,11568.76,234.0,92.0
2025-06-24,11697.1,256.0,107.0
2025-06-25,14019.77,319.0,123.0
2025-06-26,15705.65,341.0,146.0
2025-06-27,12552.98,268.0,116.0
2025-06-28,9125.43,209.0,85.0
2025-06-29,9158.51,216.0,95.0
2025-06-30,6195.9400000000005,138.0,70.0
2025-07-01,12335.63,268.0,117.0
2025-07-02,13537.69,285.0,117.0
2025-07-03,13349.49,301.0,136.0
2025-07-04,11158.52,231.0,114.0
2025-07-05,8942.63,198.0,84.0
2025-07-06,11168.72,247.0,102.0
2025-07-07,11595.61,258.0,103.0
2025-07-08,13014.68,277.0,128.0
2025-07-09,14499.72,340.0,130.0
2025-07-10,13487.95,264.0,122.0
2025-07-11,12342.14,278.0,117.0
2025-07-12,10191.17,221.0,99.0
2025-07-13,11096.23,262.0,117.0
2025-07-14,11453.98,252.0,104.0
2025-07-15,14946.789999999999,301.0,129.0
2025-07-16,14450.11,302.0,136.0
2025-07-17,15563.54,356.0,147.0
2025-07-18,15050.76,331.0,149.0
2025-07-19,12850.51,273.0,112.0
2025-07-20,10581.51,223.0,103.0
2025-07-21,9157.85,207.0,87.0
2025-07-22,14073.02,311.0,131.0
2025-07-23,12668.33,281.0,125.0
2025-07-24,13151.66,310.0,129.0
2025-07-25,11525.97,262.0,106.0
2025-07-26,12297.64,280.0,120.0
2025-07-27,6113.95,142.0,69.0
2025-07-28,11142.98,259.0,111.0
2025-07-29,13595.09,304.0,134.0
2025-07-30,16988.29,379.0,162.0
2025-07-31,14562.43,325.0,133.0
2025-08-01,12483.59,317.0,138.0
2025-08-02,11940.67,260.0,112.0
2025-08-03,10627.07,233.0,93.0
2025-08-04,11247.23,225.0,95.0
2025-08-05,13258.86,291.0,134.0
2025-08-06,17156.98,367.0,155.0
2025-08-07,15862.33,366.0,157.0
2025-08-08,16637.94,348.0,136.0
2025-08-09,11656.89,233.0,99.0
2025-08-10,9839.82,216.0,91.0
2025-08-11,12878.35,275.0,116.0
2025-08-12,10690.38,242.0,107.0
2025-08-13,14624.64,326.0,138.0
2025-08-14,18052.41,384.0,168.0
2025-08-15,13001.48,311.0,131.0
2025-08-16,15670.47,345.0,130.0
2025-08-17,11896.23,273.0,122.0
2025-08-18,7803.9,185.0,88.0
2025-08-19,17911.73,341.0,138.0
2025-08-20,13848.6,312.0,133.0
2025-08-21,17336.74,395.0,169.0
2025-08-22,16996.8,362.0,157.0
2025-08-23,16489.97,304.0,121.0
2025-08-24,12906.84,280.0,109.0
2025-08-25,9208.869999999999,203.0,101.0
2025-08-26,12347.52,273.0,117.0
2025-08-27,15185.79,374.0,153.0
